date,crop_type,price,demand
2020-01-01,wheat,190.7136164822339,102.7715803443648
2020-01-01,corn,172.50315062985533,140.45843493624858
2020-01-01,rice,294.1725909380208,106.00213689802183
2020-01-01,soybean,359.8056492974224,79.98063987319142
2020-01-01,barley,149.0328867841989,145.01895506792994
2020-01-02,wheat,207.8747225073474,130.64265086721457
2020-01-02,corn,174.99486941477775,107.81659405575563
2020-01-02,rice,299.6251440634774,94.67235788356935
2020-01-02,soybean,332.7066640821465,42.76789643777121
2020-01-02,barley,149.57096459092418,121.3864871687239
2020-01-03,wheat,190.59129880903922,131.34623052942888
2020-01-03,corn,182.41679786076668,85.28209394068935
2020-01-03,rice,315.64859008416784,120.25499559643363
2020-01-03,soybean,337.12281218569944,71.77546582983285
2020-01-03,barley,162.10818415956123,133.07561420834153
2020-01-04,wheat,210.95947005070985,132.7432171631012
2020-01-04,corn,171.2038036072994,114.34541393328021
2020-01-04,rice,298.40410678280784,105.02222154031386
2020-01-04,soybean,371.50059749074245,101.90946384795286
2020-01-04,barley,156.36811173943275,85.15746726948734
2020-01-05,wheat,200.50275302995487,84.10206347448106
2020-01-05,corn,188.31088872271204,135.80153393551277
2020-01-05,rice,300.7616391107077,137.33014980131077
2020-01-05,soybean,337.1910578583005,91.2704640413336
2020-01-05,barley,137.12255868743645,99.43157434413018
2020-01-06,wheat,209.87549595688424,106.85724186712292
2020-01-06,corn,183.95203261937104,88.17355676074662
2020-01-06,rice,303.33637039677177,78.65045667206113
2020-01-06,soybean,356.95740002043607,88.62191452210217
2020-01-06,barley,152.35922020492228,80.98474579802479
2020-01-07,wheat,189.6151587819054,105.11384264606099
2020-01-07,corn,168.53678626855177,122.75213275285998
2020-01-07,rice,303.3004903006612,59.660671641834284
2020-01-07,soybean,366.1300627815013,106.24772767186896
2020-01-07,barley,164.28372138623618,109.19728306937068
2020-01-08,wheat,207.47798788034274,91.13836084880589
2020-01-08,corn,182.9089433600861,105.06434854153602
2020-01-08,rice,309.7677538156243,97.80369851469062
2020-01-08,soybean,346.94378326176735,101.69536879858377
2020-01-08,barley,151.41887672809165,129.43693202998415
2020-01-09,wheat,197.53998493046876,95.44241857864687
2020-01-09,corn,175.4561263351586,57.89947323208515
2020-01-09,rice,309.690225957832,97.39707013809402
2020-01-09,soybean,361.6559928006761,101.04017150153575
2020-01-09,barley,157.3636446934317,88.98188042452811
2020-01-10,wheat,204.32053529362682,141.23075088561166
2020-01-10,corn,172.5935950339603,90.11523284788785
2020-01-10,rice,312.87087804236006,95.50758950955682
2020-01-10,soybean,352.06756270479354,96.25908628584996
2020-01-10,barley,168.38247460513685,100.35120892004504
2020-01-11,wheat,209.94210935340402,127.430300941905
2020-01-11,corn,190.138470179447,85.31901736170185
2020-01-11,rice,303.7954319291818,123.43225945249529
2020-01-11,soybean,355.4682256682653,71.04860262844184
2020-01-11,barley,170.07809840812462,73.12737778961431
2020-01-12,wheat,198.4352867337337,111.64421573708304
2020-01-12,corn,188.51390716220234,110.50287632665408
2020-01-12,rice,311.0651118080112,85.0399265620446
2020-01-12,soybean,353.36289568687243,79.21642602217386
2020-01-12,barley,158.92850124518688,92.8216763540998
2020-01-13,wheat,201.5376137117568,75.5297350834014
2020-01-13,corn,177.98987095072496,105.04515172031057
2020-01-13,rice,297.7955897344151,108.9672593208913
2020-01-13,soybean,356.90450087339565,103.75683346182873
2020-01-13,barley,160.46735771866776,88.49018014073347
2020-01-14,wheat,218.53792401220943,105.17937293948216
2020-01-14,corn,179.4835853870933,113.24907375990907
2020-01-14,rice,302.71252392627315,116.97394281337941
2020-01-14,soybean,362.1477359533594,68.0341334222209
2020-01-14,barley,147.9359055103278,108.64453735804364
2020-01-15,wheat,192.8113378123856,88.10427140666434
2020-01-15,corn,196.84098401912487,112.41807963473592
2020-01-15,rice,304.537618238846,90.27765095444522
2020-01-15,soybean,362.49925202510127,98.6255331529034
2020-01-15,barley,142.6220477382754,127.40404487887983
2020-01-16,wheat,207.26107434172968,97.06953654041564
2020-01-16,corn,184.56211207244291,105.5470402352208
2020-01-16,rice,323.347347512394,64.18986623284013
2020-01-16,soybean,354.26224924538184,95.81606696811322
2020-01-16,barley,166.14296693781108,104.21289934790096
2020-01-17,wheat,215.7795982135415,64.62030991571396
2020-01-17,corn,176.17559498020037,153.27615980531257
2020-01-17,rice,308.3398034685051,138.85875032711613
2020-01-17,soybean,356.49447915658493,62.25975677588399
2020-01-17,barley,162.98354498914708,70.25684180750022
2020-01-18,wheat,202.87808350741213,106.80402389287576
2020-01-18,corn,184.68899320583202,123.50933888370271
2020-01-18,rice,327.49661000418035,83.70573331624418
2020-01-18,soybean,350.72739175195517,80.73474684538849
2020-01-18,barley,149.29685330832,97.2930410275603
2020-01-19,wheat,210.06536019305884,83.4249975520858
2020-01-19,corn,177.0294447835641,96.25605899252855
2020-01-19,rice,319.19427269248524,138.82458853772863
2020-01-19,soybean,377.78682262895614,76.8836945141208
2020-01-19,barley,150.0506043694632,83.0974055966937
2020-01-20,wheat,200.7591971831168,68.72353543512378
2020-01-20,corn,183.4333136966393,113.59381329217521
2020-01-20,rice,297.7460789436938,71.02358885253031
2020-01-20,soybean,368.7915318049999,116.05939982914657
2020-01-20,barley,163.78129961621894,95.06605508546359
2020-01-21,wheat,208.273436219986,131.81069422157526
2020-01-21,corn,180.97593293944067,91.93825927022853
2020-01-21,rice,311.76207535247073,80.78385307054515
2020-01-21,soybean,359.2945902896424,113.07456358237671
2020-01-21,barley,165.34325896391329,94.4817566357839
2020-01-22,wheat,191.0713783727949,114.95535009183818
2020-01-22,corn,202.05278061594385,110.45720940588683
2020-01-22,rice,306.42785425307005,114.04325580535405
2020-01-22,soybean,359.12022067117124,107.8931558880455
2020-01-22,barley,155.94794545930918,85.90972745302587
2020-01-23,wheat,203.27826026821216,125.3717381894776
2020-01-23,corn,196.94700121343578,104.14082552869546
2020-01-23,rice,314.5515067761632,66.67031878908828
2020-01-23,soybean,360.0473236119934,120.41756206996186
2020-01-23,barley,155.6418936471888,76.32860904137738
2020-01-24,wheat,199.98588749292549,83.29737553099571
2020-01-24,corn,188.83533777443887,56.279750040810754
2020-01-24,rice,315.48947281239464,121.7044448164385
2020-01-24,soybean,364.36390496021573,131.43485722123796
2020-01-24,barley,162.61903757156153,101.36062878045232
2020-01-25,wheat,221.67039061704236,103.71728366948128
2020-01-25,corn,196.67418253004672,79.04246630756523
2020-01-25,rice,302.76089989975856,96.31758260953411
2020-01-25,soybean,362.02243853040244,136.39813915455704
2020-01-25,barley,158.05664191789947,101.2097364175684
2020-01-26,wheat,201.8063599709497,93.59985057718154
2020-01-26,corn,195.3609272149827,117.89062707216546
2020-01-26,rice,311.6237621340767,124.3129928888215
2020-01-26,soybean,344.0364732764031,66.6593940185946
2020-01-26,barley,166.545424116037,97.66241758917948
2020-01-27,wheat,218.12485616586753,120.10468731590159
2020-01-27,corn,180.40454055275092,77.97151668982276
